,path,created_at,imaged_at,x,y,z,x',y',z',impulse,speed,vector,lat,lng
0,39호3316_20191123_140632_DE_1.mp4,2019-11-23 05:06:28.150000,4.749999999999991,100,-35,247,0,0,0,0.0,89.8722,272.08,37.43265783333333,126.74728683333333
0,39호3316_20191123_140632_DE_1.mp4,2019-11-23 05:06:28.200000,4.799999999999991,129,-15,251,29,20,4,35.45419580247167,89.8722,272.08,37.43265783333333,126.74728683333333
0,39호3316_20191123_140632_DE_1.mp4,2019-11-23 05:06:28.250000,4.849999999999991,117,-34,249,-12,-19,-2,22.561028345356956,89.8722,272.08,37.43265783333333,126.74728683333333
0,39호3316_20191123_140632_DE_1.mp4,2019-11-23 05:06:28.300000,4.899999999999991,117,-34,249,0,0,0,0.0,89.8722,272.08,37.43265783333333,126.74728683333333
0,39호3316_20191123_140632_DE_1.mp4,2019-11-23 05:06:28.350000,4.94999999999999,99,-31,258,-18,3,9,20.346989949375804,89.8722,272.08,37.43265783333333,126.74728683333333
0,39호3316_20191123_140632_DE_1.mp4,2019-11-23 05:06:28.400000,4.99999999999999,148,-37,240,49,-6,-18,52.54521862167861,89.8722,272.08,37.43265783333333,126.74728683333333
0,39호3316_20191123_140632_DE_1.mp4,2019-11-23 05:06:28.450000,5.04999999999999,120,-3,253,-28,34,13,45.92385001282014,89.8722,272.08,37.43265783333333,126.74728683333333
0,39호3316_20191123_140632_DE_1.mp4,2019-11-23 05:06:28.500000,5.09999999999999,122,-8,184,2,-5,-69,69.2098258919931,89.8722,272.08,37.43265783333333,126.74728683333333
0,39호3316_20191123_140632_DE_1.mp4,2019-11-23 05:06:28.550000,5.14999999999999,148,-25,259,26,-17,75,81.17881497040962,89.8722,272.08,37.43265783333333,126.74728683333333
0,39호3316_20191123_140632_DE_1.mp4,2019-11-23 05:06:28.600000,5.1999999999999895,86,-51,229,-62,-26,-30,73.62064927722385,89.8722,272.08,37.43265783333333,126.74728683333333
0,39호3316_20191123_140632_DE_1.mp4,2019-11-23 05:06:28.650000,5.249999999999989,124,-21,216,38,30,-13,50.12983143797713,89.8722,272.08,37.43265783333333,126.74728683333333
0,39호3316_20191123_140632_DE_1.mp4,2019-11-23 05:06:28.700000,5.299999999999989,103,-22,210,-21,-1,-6,21.863211109075447,89.8722,272.08,37.43265783333333,126.74728683333333
0,39호3316_20191123_140632_DE_1.mp4,2019-11-23 05:06:28.750000,5.349999999999989,98,6,234,-5,28,24,37.21558813185679,89.8722,272.08,37.43265783333333,126.74728683333333
0,39호3316_20191123_140632_DE_1.mp4,2019-11-23 05:06:28.800000,5.399999999999989,101,-26,225,3,-32,-9,33.37663853655727,89.8722,272.08,37.43265783333333,126.74728683333333
0,39호3316_20191123_140632_DE_1.mp4,2019-11-23 05:06:28.850000,5.449999999999989,101,-26,225,0,0,0,0.0,89.8722,272.08,37.43265783333333,126.74728683333333
0,39호3316_20191123_140632_DE_1.mp4,2019-11-23 05:06:28.900000,5.4999999999999885,127,-9,221,26,17,-4,31.32091952673165,89.8722,272.08,37.43265783333333,126.74728683333333
0,39호3316_20191123_140632_DE_1.mp4,2019-11-23 05:06:28.950000,5.549999999999988,147,-11,281,20,-2,60,63.2771680782255,89.8722,272.08,37.43265783333333,126.74728683333333
0,39호3316_20191123_140632_DE_1.mp4,2019-11-23 05:06:29,5.599999999999988,152,-14,253,5,-3,-28,28.600699292150182,90.6354,272.07,37.432665,126.74699533333333
0,39호3316_20191123_140632_DE_1.mp4,2019-11-23 05:06:29.050000,5.649999999999988,152,-14,253,0,0,0,0.0,90.6354,272.07,37.432665,126.74699533333333
0,39호3316_20191123_140632_DE_1.mp4,2019-11-23 05:06:29.100000,5.699999999999988,123,-17,248,-29,-3,-5,29.58039891549808,90.6354,272.07,37.432665,126.74699533333333
0,39호3316_20191123_140632_DE_1.mp4,2019-11-23 05:06:29.150000,5.749999999999988,130,-30,240,7,-13,-8,16.792855623746664,90.6354,272.07,37.432665,126.74699533333333
0,39호3316_20191123_140632_DE_1.mp4,2019-11-23 05:06:29.200000,5.799999999999987,130,-30,240,0,0,0,0.0,90.6354,272.07,37.432665,126.74699533333333
0,39호3316_20191123_140632_DE_1.mp4,2019-11-23 05:06:29.250000,5.849999999999987,117,-54,227,-13,-24,-13,30.23243291566195,90.6354,272.07,37.432665,126.74699533333333
0,39호3316_20191123_140632_DE_1.mp4,2019-11-23 05:06:29.300000,5.899999999999987,135,8,207,18,62,-20,67.58698099486321,90.6354,272.07,37.432665,126.74699533333333
0,39호3316_20191123_140632_DE_1.mp4,2019-11-23 05:06:29.350000,5.949999999999987,116,-9,174,-19,-17,-33,41.701318923986086,90.6354,272.07,37.432665,126.74699533333333
